train_loss,val_loss,accuracy,precision,recall,f1_score,learning_rate,epoch_time,true_positives,false_positives,true_negatives,false_negatives
0.39591717121128767,0.36092133117082825,0.8475910777989982,0.803648625280996,0.600335852225021,0.6872712484749899,0.001,2556.6229541301727,9295,2271,37748,6188
0.35511079550532554,0.32855130357168594,0.8623653201686425,0.7659704326597043,0.7295097849254021,0.7472956432564756,0.001,1046.0673847198486,11295,3451,36568,4188
0.3480957088335322,0.3333545603394852,0.8578789953515189,0.809721882391322,0.6412194019246916,0.7156862745098039,0.001,1043.2285256385803,9928,2333,37686,5555
0.34307895387952697,0.33530710040234696,0.857770891139058,0.8148178876628225,0.6343085965252212,0.7133207437536316,0.001,1048.1912806034088,9821,2232,37787,5662
0.3313823400731645,0.32474396330564786,0.862959893337177,0.7720898100172712,0.7218239359297294,0.7461112223779959,0.001,1056.3601987361908,11176,3299,36720,4307
0.326730136953683,0.3263075065243485,0.8613383301502648,0.7866028708133971,0.690176322418136,0.7352415026833632,0.001,1050.0917627811432,10686,2899,37120,4797
0.32378217215821875,0.31386271562717144,0.8669417318294836,0.787244608399546,0.7167215655880643,0.7503296257479969,0.001,1045.8872113227844,11097,2999,37020,4386
0.32194326523209243,0.314312153041191,0.8658066375986451,0.7893410154843357,0.7078731511980882,0.7463906292563334,0.001,1048.3314702510834,10960,2925,37094,4523
0.3214738784354147,0.31895476654816085,0.8678065655291701,0.762469390385359,0.7641929858554544,0.7633302151543498,0.001,1050.981094121933,11832,3686,36333,3651
0.31985506388734897,0.31145414064614163,0.8669237144607401,0.8044213850665464,0.6909513660143383,0.7433812799666458,0.001,1043.8586654663086,10698,2601,37418,4785
