train_loss,val_loss,accuracy,precision,recall,f1_score,learning_rate,epoch_time,true_positives,false_positives,true_negatives,false_negatives
0.34956081096876523,0.31038552285614895,0.8714280566466073,0.7922005180984387,0.7308015242524059,0.7602633877578445,0.001,2967.4122042655945,11315,2968,37051,4168
0.3073705498995751,0.2878126084246278,0.8778602572880256,0.8263347330533893,0.7117483691790997,0.7647732398764704,0.001,802.5295174121857,11020,2316,37703,4463
0.28707779629403524,0.2698905332094482,0.887175236928399,0.8075511973850977,0.7818898146354065,0.7945133556474372,0.001,806.7287600040436,12106,2885,37134,3377
0.27485185746252794,0.27364413520960024,0.8909588843645274,0.7866739619429752,0.8357553445714655,0.8104722535387698,0.001,806.5894274711609,12940,3509,36510,2543
0.26374022380746076,0.25341292836351764,0.897481171849663,0.8112248140850442,0.8243234515274818,0.8177216811891338,0.001,807.1191766262054,12763,2970,37049,2720
0.2549865724533393,0.2478498590202943,0.9002198118986703,0.8389339513325609,0.7949363818381451,0.8163427737613583,0.001,807.2765436172485,12308,2363,37656,3175
0.2479107055590781,0.23821831865488452,0.9034629382724947,0.8353315228191032,0.8145062326422527,0.8247874427730543,0.001,803.6919169425964,12611,2486,37533,2872
0.24087014742427565,0.23965135563476284,0.9018053403480956,0.823499064938415,0.8247755602919331,0.8241368183284931,0.001,2864.5976848602295,12770,2737,37282,2713
0.23458320230060883,0.24036801565406302,0.9014810277107131,0.8226689864037632,0.8245817993928826,0.8236242823043675,0.001,824.718368768692,12767,2752,37267,2716
0.22861317099407896,0.23306136219641488,0.9016251666606608,0.800647909292699,0.8619776529096428,0.8301816372231898,0.001,799.2980680465698,13346,3323,36696,2137
